Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125062-157839,C,Day'Ron,Day'Ron Sharpe,Sharpe,19.403448696794182,29,4800,HOU@BKN,BKN,HOU,,,,,,C
125062-171751,SF/SG,Max,Max Christie,Christie,20.603124618530273,32,4800,PHI@DAL,DAL,PHI,,,,,,SG/SF
125062-228129,SF/SG,Hugo,Hugo Gonzalez,Gonzalez,11.544444896556714,27,4700,BOS@SAC,BOS,SAC,,,,,,SG/SF
125062-145307,C/PF,Isaiah,Isaiah Stewart,Stewart,23.869999186197916,30,4700,MIA@DET,DET,MIA,,,,,,PF/C
125062-171792,PF,Nikola,Nikola Jovic,Jovic,18.636363636363637,22,4600,MIA@DET,MIA,DET,,,,,,PF
125062-203771,C,Adem,Adem Bona,Bona,14.078260338824728,23,4600,PHI@DAL,PHI,DAL,,,,,,C
125062-228722,PG,Ryan,Ryan Nembhard,Nembhard,17.052381243024552,21,4500,PHI@DAL,DAL,PHI,,,,,,PG
125062-84717,SG/PG,Anfernee,Anfernee Simons,Simons,20.184375762939453,32,4500,BOS@SAC,BOS,SAC,,,,,,PG/SG
125062-161553,SG,Dru,Dru Smith,Smith,18.52121249112216,33,4400,MIA@DET,MIA,DET,,,,,,SG
125062-228124,SG/SF,Nique,Nique Clifford,Clifford,13.031034272292565,29,4400,BOS@SAC,SAC,BOS,,,,,,SG/SF
125062-157807,C,Luka,Luka Garza,Garza,15.066666920979818,24,4400,BOS@SAC,BOS,SAC,,,,,,C
125062-23169,C,Steven,Steven Adams,Adams,20.82800048828125,25,4400,HOU@BKN,HOU,BKN,Q,Ankle,,,,C
125062-228700,C,Dylan,Dylan Cardwell,Cardwell,18.77777777777778,9,4300,BOS@SAC,SAC,BOS,,,,,,C
125062-145314,PF/C,Precious,Precious Achiuwa,Achiuwa,18.357691838191105,26,4300,BOS@SAC,SAC,BOS,,,,,,PF/C
125062-171780,SG/PG,Jaden,Jaden Ivey,Ivey,15.616667005750868,18,4200,MIA@DET,DET,MIA,,,,,,PG/SG
125062-203802,SG,Pelle,Pelle Larsson,Larsson,18.607407181351274,27,4200,MIA@DET,MIA,DET,O,Ankle,,,,SG
125062-85137,SG/SF,Duncan,Duncan Robinson,Robinson,20.799999606224798,31,4200,MIA@DET,DET,MIA,,,,,,SG/SF
125062-80816,SG/PG,Malik,Malik Monk,Monk,19.925000871930802,28,4200,BOS@SAC,SAC,BOS,,,,,,PG/SG
125062-110315,SF/SG,Terance,Terance Mann,Mann,19.753570556640625,28,4200,HOU@BKN,BKN,HOU,O,Hip,,,,SG/SF
125062-203762,PF/SF,Ronald,Ronald Holland,Holland,18.958064909904234,31,4200,MIA@DET,DET,MIA,,,,,,SF/PF
125062-188457,SF/SG,Jordan,Jordan Walsh,Walsh,18.348147922092014,27,4100,BOS@SAC,BOS,SAC,,,,,,SG/SF
125062-14509,SF/SG,Klay,Klay Thompson,Thompson,17.574193154611894,31,4100,PHI@DAL,DAL,PHI,,,,,,SG/SF
125062-203731,SG/PG,Jared,Jared McCain,McCain,15.28636308149858,22,4100,PHI@DAL,PHI,DAL,,,,,,PG/SG
125062-228111,PF/SF,Danny,Danny Wolf,Wolf,14.8125,16,4000,HOU@BKN,BKN,HOU,,,,,,SF/PF
125062-55059,C,Clint,Clint Capela,Capela,12.571428571428571,28,4000,HOU@BKN,HOU,BKN,Q,Illness,,,,C
125062-203812,PG,Daniss,Daniss Jenkins,Jenkins,14.58148193359375,27,4000,MIA@DET,DET,MIA,,,,,,PG
125062-157843,SF/SG,Ziaire,Ziaire Williams,Williams,15.715999755859375,25,4000,HOU@BKN,BKN,HOU,,,,,,SG/SF
125062-171669,SG/SF,Keon,Keon Ellis,Ellis,12.506452006678428,31,4000,BOS@SAC,SAC,BOS,,,,,,SG/SF
125062-23798,SG/SF,Caris,Caris LeVert,LeVert,17.642308161808895,26,4000,MIA@DET,DET,MIA,O,Knee,,,,SG/SF
125062-188427,PG,Marcus,Marcus Sasser,Sasser,10.8,5,3900,MIA@DET,DET,MIA,,,,,,PG
125062-113267,SF,Caleb,Caleb Martin,Martin,6.477777551721643,27,3900,PHI@DAL,DAL,PHI,,,,,,SF
125062-158854,SF/PF,Sam,Sam Hauser,Hauser,15.231249809265137,32,3900,BOS@SAC,BOS,SAC,,,,,,SF/PF
125062-173747,SF,Simone,Simone Fontecchio,Fontecchio,15.59032218686996,31,3900,MIA@DET,MIA,DET,,,,,,SF
125062-84689,SG/SF,Josh,Josh Okogie,Okogie,14.383333333333333,30,3900,HOU@BKN,HOU,BKN,,,,,,SG/SF
125062-171753,SG/SF,Tyrese,Tyrese Martin,Martin,16.48148148148148,27,3900,HOU@BKN,BKN,HOU,,,,,,SG/SF
125062-228107,SG/SF,Drake,Drake Powell,Powell,12.223810105096726,21,3800,HOU@BKN,BKN,HOU,,,,,,SG/SF
125062-228114,PG,Kasparas,Kasparas Jakucionis,Jakucionis,10.649999618530273,8,3800,MIA@DET,MIA,DET,,,,,,PG
125062-16196,C,Dwight,Dwight Powell,Powell,9.33750025431315,24,3800,PHI@DAL,DAL,PHI,,,,,,C
125062-112709,SF,Javonte,Javonte Green,Green,15.369697339607008,33,3800,MIA@DET,DET,MIA,,,,,,SF
125062-158856,PF/C,Trendon,Trendon Watford,Watford,20.371429443359375,14,3800,PHI@DAL,PHI,DAL,O,Thigh,,,,PF/C
125062-58312,PG,D'Angelo,D'Angelo Russell,Russell,18.87199951171875,25,3800,PHI@DAL,DAL,PHI,Q,Illness,,,,PG
125062-84719,PG,Aaron,Aaron Holiday,Holiday,10.191666920979818,24,3800,HOU@BKN,HOU,BKN,,,,,,PG
125062-228110,PG,Nolan,Nolan Traore,Traore,7.680000305175781,10,3700,HOU@BKN,BKN,HOU,,,,,,PG
125062-228108,PG,Ben,Ben Saraf,Saraf,12.40000025431315,12,3700,HOU@BKN,BKN,HOU,,,,,,PG
125062-203803,SF,Keshad,Keshad Johnson,Johnson,7.850000108991351,14,3700,MIA@DET,MIA,DET,,,,,,SF
125062-145329,C,Paul,Paul Reed,Reed,14.404000244140626,25,3700,MIA@DET,DET,MIA,,,,,,C
125062-97263,C,Drew,Drew Eubanks,Eubanks,11.684614915114183,26,3700,BOS@SAC,SAC,BOS,,,,,,C
125062-171764,PF,Jabari,Jabari Walker,Walker,10.286206475619611,29,3700,PHI@DAL,PHI,DAL,,,,,,PF
125062-203772,PF/SF,Justin,Justin Edwards,Edwards,11.42142813546317,28,3700,PHI@DAL,PHI,DAL,,,,,,SF/PF
125062-171776,PF/SF,Josh,Josh Minott,Minott,16.17142813546317,28,3600,BOS@SAC,BOS,SAC,,,,,,SF/PF
125062-171791,SG,Jaden,Jaden Hardy,Hardy,8.579166412353516,24,3600,PHI@DAL,DAL,PHI,,,,,,SG
125062-188442,SF,Jalen,Jalen Wilson,Wilson,7.128571283249628,21,3600,HOU@BKN,BKN,HOU,,,,,,SF
125062-18256,PF,Doug,Doug McDermott,McDermott,5.659999847412109,5,3600,BOS@SAC,SAC,BOS,,,,,,PF
125062-233063,C,Moussa,Moussa Cisse,Cisse,10.365000152587891,20,3600,PHI@DAL,DAL,PHI,,,,,,C
125062-145576,SF,Jae'Sean,Jae'Sean Tate,Tate,6.1421051025390625,19,3600,HOU@BKN,HOU,BKN,,,,,,SF
125062-203715,SG,Baylor,Baylor Scheierman,Scheierman,6.896428789411273,28,3600,BOS@SAC,BOS,SAC,,,,,,SG
