Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
D'Angelo Russell,448,3.05,5.26,0.42,12.90%,2.32,8.73%,2.53,10.76%,9.68%,0.84,0.0,0.00%,0.42,1.93%,0.42,1.92%,1.93%,14.81%,6.72%,2.70%,9.52%,14.55%,1.45%,2.15%,2.22%,1.37%,3.23%,4,3.48%
Caleb Martin,232,3.7,4.74,0.0,0.00%,1.98,9.09%,2.77,11.97%,10.57%,2.63,0.0,0.00%,1.01,3.97%,1.62,6.72%,5.31%,10.00%,6.82%,12.50%,14.12%,6.25%,2.63%,3.17%,8.00%,8.64%,2.63%,0,0.00%
P.J. Washington,865,5.78,9.2,1.08,30.77%,4.09,15.70%,4.04,16.70%,16.18%,2.3,0.11,3.77%,1.64,6.15%,0.55,2.62%,4.60%,11.24%,18.41%,17.91%,16.37%,17.76%,7.83%,6.09%,3.26%,2.58%,2.70%,13,7.98%
Daniel Gafford,471,6.93,9.53,0.71,21.21%,3.85,14.62%,4.97,19.22%,16.89%,4.34,0.0,0.00%,3.63,15.65%,0.71,3.10%,9.43%,17.00%,12.40%,15.38%,18.95%,20.00%,18.18%,16.38%,8.11%,2.55%,4.35%,5,17.86%
Klay Thompson,648,2.69,4.75,0.07,2.22%,2.01,7.05%,2.66,11.94%,9.19%,0.64,0.0,0.00%,0.29,1.14%,0.36,1.47%,1.30%,5.56%,6.60%,12.50%,10.92%,14.81%,0.81%,1.34%,1.27%,1.30%,1.83%,5,2.58%
Naji Marshall,931,3.99,6.46,0.2,7.41%,3.05,11.91%,3.2,14.00%,12.90%,1.48,0.0,0.00%,0.86,3.47%,0.61,3.01%,3.26%,11.11%,12.21%,12.86%,14.83%,11.50%,3.64%,3.02%,4.30%,2.46%,4.35%,1,0.87%
Brandon Williams,621,2.68,4.31,0.3,12.12%,1.44,5.90%,2.57,11.37%,8.53%,1.06,0.0,0.00%,0.6,2.33%,0.45,2.28%,2.31%,5.60%,3.92%,13.64%,8.68%,18.75%,2.16%,1.92%,4.08%,1.09%,5.00%,2,1.57%
Jaden Hardy,213,2.53,3.96,0.22,8.33%,2.86,10.66%,0.88,3.81%,7.49%,1.1,0.0,0.00%,0.88,3.67%,0.22,1.12%,2.53%,15.00%,10.94%,0.00%,4.94%,0.00%,8.16%,0.00%,0.00%,1.61%,0.00%,0,0.00%
Max Christie,879,2.92,5.36,0.27,8.47%,1.82,7.04%,3.27,14.84%,10.63%,0.44,0.05,1.75%,0.27,1.11%,0.11,0.55%,0.86%,10.19%,6.69%,1.39%,15.58%,12.62%,1.88%,0.94%,0.00%,0.39%,0.90%,3,2.50%
Cooper Flagg,1095,4.44,7.15,0.69,26.23%,4.09,15.63%,2.37,10.93%,13.50%,1.7,0.13,4.69%,0.79,3.06%,0.79,3.86%,3.42%,11.76%,15.64%,26.25%,10.76%,11.48%,5.61%,2.21%,0.83%,3.45%,4.76%,8,3.59%
Moussa Cisse,166,7.38,8.12,0.0,0.00%,4.48,16.49%,3.64,16.05%,16.29%,6.61,0.0,0.00%,5.17,19.15%,1.44,7.81%,14.56%,16.67%,13.73%,25.00%,12.28%,25.00%,17.86%,24.00%,6.25%,9.62%,0.00%,3,30.00%
Anthony Davis,458,8.83,12.46,1.25,57.14%,6.33,23.46%,4.88,23.50%,23.48%,5.15,0.0,0.00%,4.21,15.04%,0.95,5.42%,11.34%,20.20%,27.07%,17.86%,23.38%,23.91%,21.05%,14.02%,7.81%,3.67%,8.77%,6,5.41%
Ryan Nembhard,407,2.16,3.86,0.12,5.26%,1.93,7.08%,1.81,7.61%,7.33%,0.48,0.0,0.00%,0.36,1.36%,0.12,0.63%,1.06%,9.78%,5.10%,5.56%,7.97%,6.78%,1.75%,0.98%,1.64%,0.95%,0.00%,1,1.52%
Dwight Powell,274,5.28,6.63,0.0,0.00%,5.1,18.99%,1.53,7.76%,14.23%,3.92,0.0,0.00%,2.04,8.11%,1.87,9.65%,8.78%,10.53%,22.97%,25.93%,7.87%,7.41%,8.77%,10.00%,3.23%,6.94%,14.29%,0,0.00%
Dereck Lively II,112,7.26,8.71,0.83,50.00%,4.56,17.46%,3.32,15.69%,16.67%,5.81,0.0,0.00%,4.56,16.42%,1.24,6.52%,12.39%,12.50%,17.95%,25.00%,20.00%,6.25%,20.00%,18.52%,0.00%,10.34%,0.00%,0,0.00%
