Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
D'Angelo Russell,448,9.78,23.13,6.2,3.58,3.68,1.89,0.63,0.84,2.73
Caleb Martin,232,5.45,14.14,2.22,3.23,0.61,1.01,0.61,1.21,2.02
P.J. Washington,865,2.85,6.79,1.75,1.09,1.37,0.33,0.05,0.49,0.6
Daniel Gafford,471,2.32,5.35,1.61,0.71,0.81,0.4,0.4,0.1,0.61
Klay Thompson,648,2.57,5.92,1.78,0.78,1.14,0.64,0.0,0.21,0.57
Naji Marshall,931,4.32,10.89,2.09,2.24,1.37,0.46,0.25,0.71,1.53
Brandon Williams,621,8.01,19.27,4.76,3.25,3.4,1.28,0.08,1.21,2.04
Jaden Hardy,213,2.42,5.27,1.98,0.44,1.1,0.66,0.22,0.22,0.22
Max Christie,879,3.55,8.3,2.35,1.2,1.37,0.82,0.16,0.38,0.82
Cooper Flagg,1095,5.59,13.49,3.28,2.31,1.88,1.27,0.13,0.96,1.35
Moussa Cisse,166,0.86,2.01,0.57,0.29,0.0,0.29,0.29,0.0,0.29
Anthony Davis,458,4.42,10.09,3.15,1.26,1.79,0.84,0.53,0.32,0.95
Ryan Nembhard,407,12.61,28.93,8.88,3.72,5.04,2.76,1.08,1.2,2.52
Dwight Powell,274,3.07,7.33,1.87,1.19,0.34,1.02,0.51,0.0,1.19
Dereck Lively II,112,4.98,11.2,3.73,1.24,0.41,2.07,1.24,0.41,0.83
Miles Kelly,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
