Lineup #,SelScore,HitCount,Salary,ProjSum,MaxSimPts,Players,FD_IDs
17,1.7658,1,59400,302.99,573.74,Jaden Ivey (DET) | Collin Gillespie (PHX) | Tre Jones (CHI) | Dillon Brooks (PHX) | Paolo Banchero (ORL) | Marcus Smart (LAL) | Bilal Coulibaly (WAS) | Jalen Johnson (ATL) | Neemias Queta (BOS),"125339-171780,125339-171668,125339-145323,125339-60233,125339-171770,125339-23670,125339-188416,125339-157833,125339-157811"
18,1.7636,1,59400,326.57,540.75,Ajay Mitchell (OKC) | Jamal Murray (DEN) | Jaden Ivey (DET) | Collin Sexton (CHA) | Kawhi Leonard (LAC) | Ausar Thompson (DET) | Tari Eason (HOU) | Jalen Williams (OKC) | Paul Reed (DET),"125339-203808,125339-66108,125339-171780,125339-84667,125339-14513,125339-188426,125339-171769,125339-171760,125339-145329"
19,1.7631,1,59700,308.57,563.18,Cason Wallace (OKC) | Luka Doncic (LAL) | Miles McBride (NYK) | VJ Edgecombe (PHI) | Justin Champagnie (WAS) | Bilal Coulibaly (WAS) | Paul George (PHI) | Scottie Barnes (TOR) | Robert Williams (POR),"125339-188415,125339-84669,125339-157824,125339-228133,125339-158855,125339-188416,125339-12341,125339-157822,125339-84708"
20,1.7606,1,59600,315.09,551.67,Bub Carrington (WAS) | Ajay Mitchell (OKC) | Dyson Daniels (ATL) | Mikal Bridges (NYK) | RJ Barrett (TOR) | Kevin Durant (HOU) | Peyton Watson (DEN) | Alex Sarr (WAS) | Paul Reed (DET),"125339-203721,125339-203808,125339-171784,125339-84670,125339-110357,125339-9646,125339-171761,125339-203764,125339-145329"
21,1.7603,1,60000,309.69,558.25,Kris Dunn (LAC) | Shaedon Sharpe (POR) | Nickeil Alexander-Walker (ATL) | Jaden Ivey (DET) | Tari Eason (HOU) | Dillon Brooks (PHX) | Kawhi Leonard (LAC) | Victor Wembanyama (SAS) | Paul Reed (DET),"125339-23802,125339-171804,125339-110356,125339-171780,125339-171769,125339-60233,125339-14513,125339-188414,125339-145329"
22,1.7587,1,59600,290.64,580.62,Kevin Porter Jr. (MIL) | Stephon Castle (SAS) | Caris LeVert (DET) | Immanuel Quickley (TOR) | Matas Buzelis (CHI) | Ausar Thompson (DET) | Jake LaRavia (LAL) | Victor Wembanyama (SAS) | Jock Landale (MEM),"125339-110345,125339-203723,125339-23798,125339-145348,125339-203761,125339-188426,125339-171757,125339-188414,125339-158137"
23,1.7581,1,59600,300.18,567.6,Jordan Poole (NOP) | Ajay Mitchell (OKC) | Jaylen Brown (BOS) | Marcus Smart (LAL) | Jalen Williams (OKC) | Toumani Camara (POR) | Alex Sarr (WAS) | Kristaps Porzingis (ATL) | Nic Claxton (BKN),"125339-110322,125339-203808,125339-67026,125339-23670,125339-171760,125339-188447,125339-203764,125339-63122,125339-110354"
24,1.7548,1,59700,304.4,558.07,Daniss Jenkins (DET) | Brandin Podziemski (GSW) | Immanuel Quickley (TOR) | Cason Wallace (OKC) | Scottie Barnes (TOR) | Kon Knueppel (CHA) | Victor Wembanyama (SAS) | Alex Sarr (WAS) | Paul Reed (DET),"125339-203812,125339-188433,125339-145348,125339-188415,125339-157822,125339-228135,125339-188414,125339-203764,125339-145329"
25,1.7542,1,59800,293.31,571.48,Anfernee Simons (BOS) | Luka Doncic (LAL) | Dyson Daniels (ATL) | Keyonte George (UTA) | Sam Hauser (BOS) | OG Anunoby (NYK) | John Collins (LAC) | Kristaps Porzingis (ATL) | Jarred Vanderbilt (LAL),"125339-84717,125339-84669,125339-171784,125339-188412,125339-158854,125339-68090,125339-66236,125339-63122,125339-84721"
26,1.753,1,59800,290.41,573.75,Shaedon Sharpe (POR) | Collin Gillespie (PHX) | Jordan Goodwin (PHX) | Ajay Mitchell (OKC) | OG Anunoby (NYK) | Deni Avdija (POR) | Bobby Portis (MIL) | Chet Holmgren (OKC) | Steven Adams (HOU),"125339-171804,125339-171668,125339-160174,125339-203808,125339-68090,125339-145539,125339-42156,125339-171759,125339-23169"
