player,team,gameInfo,game_abbr,salary,minutes,total,spread_home,game_date,points_Minutes,points_P/M,points_Possessions,points_Pts,points_FG2M,points_FG2A,points_2pt FG%,points_FG3M,points_FG3A,points_3pt FG%,points_Non-Heave 3pt FG%,points_FT Pts,points_AST2 Pts,points_UAST2 2s Pts,points_AST3 Pts,points_UAST3 Pts,points_2pt AST%,points_Non Putback 2pt AST%,points_3pt AST%,points_3PAr,points_Shot Quality,points_eFG%,points_TS%,points_PUT,points_FG2AB,points_% of FG2AB,points_FG3AB,points_% of FG3AB,points_Usage,assists_Minutes,assists_Assists,assists_Assist Pts,assists_2pt,assists_3pt,assists_At Rim,assists_SMR,assists_LMR,assists_C3,assists_AB3,rebounds_Minutes,rebounds_Reb,rebounds_DReb,rebounds_FT DReb,rebounds_FT DReb%,rebounds_2Pt DReb,rebounds_2Pt DReb%,rebounds_3Pt DReb,rebounds_3Pt DReb%,rebounds_FG DReb%,rebounds_OReb,rebounds_FT OReb,rebounds_FT OReb%,rebounds_2Pt OReb,rebounds_2Pt OReb%,rebounds_3Pt OReb,rebounds_3Pt OReb%,rebounds_FG OReb%,rebounds_Rim DReb%,rebounds_SMR DReb%,rebounds_LMR DReb%,rebounds_AB3 DReb%,rebounds_C3 DReb%,rebounds_Rim OReb%,rebounds_SMR OReb%,rebounds_LMR OReb%,rebounds_AB3 OReb%,rebounds_C3 OReb%,rebounds_Z-Bounds,rebounds_Z-Bound Pct,turnovers_Minutes,turnovers_TOs,turnovers_Live Ball TOs,turnovers_Dead Ball TOs,turnovers_Live Ball TO%,turnovers_Lost Ball,turnovers_Lost Ball Out of Bounds,turnovers_Bad Pass,turnovers_Bad Pass Out of Bounds,turnovers_Travels,turnovers_3 Second Violation,turnovers_Step Out of Bounds,turnovers_Offensive Goaltending,stocks_Minutes,stocks_Blocks,stocks_2pt Blocks,stocks_3pt Blocks,stocks_Rim Blocks,stocks_SMR Blocks,stocks_LMR Blocks,stocks_C3 Blocks,stocks_AB3 Blocks,stocks_BLK REC,stocks_BLK REC%,stocks_Steals,stocks_Lost Ball Steals,stocks_Bad Pass Steals,stocks_Goaltending Violations
Sviatoslav Mykhailiuk,Utah Jazz,DAL @ UTAH,DAL @ UTA,3900.0,20.0,241.5,4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.J. Washington,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,6600.0,0.0,241.5,4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Gafford,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,5500.0,25.0,241.5,4.5,2026-01-09,227.0,6.15,466.0,15.67,6.44,10.73,60.0,0.0,0.0,0.0,0.0,2.79,8.58,4.29,0.0,0.0,66.67,86.96,0.0,0.0,0.58,60.0,62.93,3.0,1.07,10.0,0.0,0.0,14.26,227.0,2.79,6.44,1.93,0.86,0.64,0.86,0.43,0.21,0.64,227.0,7.33,10.17,0.65,23.08,4.98,18.25,4.55,18.26,18.26,4.51,0.0,0.0,3.86,16.51,0.64,3.0,10.05,18.6,18.18,17.65,16.88,21.05,25.0,13.33,5.0,2.9,3.23,3.0,20.0,227.0,3.86,2.79,1.07,72.22,0.86,0.21,1.93,0.43,0.21,0.0,0.0,0.0,227.0,3.9,3.9,0.0,2.16,1.73,0.0,0.0,0.0,3.25,83.33,2.16,5.0,5.0,0.43
Caleb Martin,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,3600.0,2.33,241.5,4.5,2026-01-09,177.0,-3.24,382.0,7.33,2.62,6.02,43.48,0.26,2.09,12.5,12.5,1.31,3.14,2.09,0.79,0.0,60.0,60.0,100.0,25.81,0.6,37.1,41.18,0.0,0.79,13.04,0.0,0.0,9.86,177.0,6.02,15.97,2.09,3.93,0.26,1.05,0.79,1.31,2.62,177.0,3.51,4.12,0.0,0.0,2.32,9.18,1.8,8.33,8.79,2.88,0.0,0.0,1.31,5.56,1.57,6.67,6.11,9.76,7.14,13.33,8.77,7.41,3.45,4.76,10.53,8.47,3.23,0.0,0.0,177.0,2.36,1.83,0.52,77.78,0.79,0.0,1.05,0.0,0.26,0.0,0.0,0.0,177.0,0.77,0.77,0.0,0.77,0.0,0.0,0.0,0.0,0.77,100.0,2.58,2.0,8.0,0.0
Naji Marshall,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,5400.0,34.0,241.5,4.5,2026-01-09,609.0,-6.69,1280.0,22.19,6.64,10.63,62.5,1.64,5.0,32.81,32.81,3.98,7.34,5.94,4.45,0.47,55.29,61.04,90.48,32.0,0.54,58.25,62.56,1.25,0.86,8.09,0.08,1.56,17.62,609.0,4.53,11.48,2.11,2.42,1.41,0.47,0.23,0.94,1.48,609.0,3.97,6.29,0.16,7.69,3.26,13.13,2.87,13.07,13.1,1.64,0.0,0.0,1.02,4.06,0.63,3.19,3.68,12.15,12.88,16.0,14.15,9.86,4.39,3.55,4.62,2.92,3.75,1.0,1.27,609.0,1.95,1.33,0.63,68.0,0.47,0.0,0.86,0.31,0.08,0.0,0.08,0.0,609.0,0.23,0.23,0.0,0.16,0.08,0.0,0.0,0.0,0.08,33.33,1.48,7.0,12.0,0.0
Dalano Banton,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,,6.81,241.5,4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Williams,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,5900.0,24.0,241.5,4.5,2026-01-09,348.0,-3.17,747.0,24.77,8.03,14.19,56.6,0.67,5.49,12.2,12.2,6.69,5.09,10.98,2.01,0.0,31.67,32.2,100.0,27.89,0.56,45.92,53.16,0.27,1.47,10.38,0.13,2.44,24.37,348.0,8.17,19.95,4.55,3.61,3.08,1.34,0.13,1.2,2.41,348.0,2.89,4.58,0.27,16.67,1.75,6.95,2.56,12.93,9.58,1.2,0.0,0.0,0.67,2.63,0.54,2.82,2.71,6.35,5.49,12.12,10.19,20.51,2.44,2.47,3.7,2.13,4.17,0.0,0.0,348.0,4.02,3.21,0.8,80.0,0.94,0.13,2.28,0.4,0.13,0.0,0.13,0.0,348.0,0.27,0.13,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.0,2.69,5.0,15.0,0.0
Walker Kessler,Utah Jazz,DAL @ UTAH,DAL @ UTA,3500.0,0.0,241.5,4.5,2026-01-09,96.0,20.3,197.0,23.86,7.11,9.64,73.68,2.03,2.03,100.0,100.0,3.55,8.12,6.09,6.09,0.0,57.14,100.0,100.0,17.39,0.57,86.96,83.93,6.09,1.52,15.79,0.0,0.0,16.59,96.0,3.55,8.12,2.54,1.02,1.52,1.02,0.0,0.51,0.51,96.0,8.38,9.64,0.51,20.0,4.06,19.05,5.08,16.95,17.82,7.11,0.0,0.0,4.06,26.67,3.05,12.77,18.18,15.38,26.32,10.0,15.0,21.05,28.57,29.41,16.67,14.63,0.0,2.0,100.0,96.0,5.08,2.54,2.54,50.0,0.51,0.0,2.03,0.51,0.0,0.0,0.0,0.0,96.0,2.54,2.54,0.0,1.52,1.02,0.0,0.0,0.0,1.52,60.0,1.52,1.0,2.0,0.51
Max Christie,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,4700.0,34.0,241.5,4.5,2026-01-09,447.0,-1.42,934.0,19.27,2.46,4.82,51.11,4.18,9.1,45.88,45.88,1.82,2.57,2.36,11.56,0.96,52.17,52.17,92.31,65.38,0.56,62.69,64.13,0.0,0.75,15.56,0.11,1.18,14.75,447.0,2.68,6.42,1.61,1.07,1.07,0.32,0.21,0.32,0.75,447.0,3.1,6.07,0.32,15.79,2.45,8.88,3.3,15.12,11.64,0.11,0.0,0.0,0.11,0.43,0.0,0.0,0.25,11.83,8.8,2.44,16.99,9.62,0.0,0.94,0.0,0.0,0.0,0.0,0.0,447.0,1.61,0.96,0.64,60.0,0.43,0.0,0.54,0.21,0.11,0.0,0.11,0.0,447.0,0.53,0.53,0.0,0.32,0.21,0.0,0.0,0.0,0.43,80.0,0.85,1.0,7.0,0.0
Jaden Hardy,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,3600.0,2.88,241.5,4.5,2026-01-09,125.0,11.41,263.0,19.77,4.56,7.98,57.14,2.66,7.98,33.33,33.33,2.66,6.08,3.04,7.98,0.0,66.67,72.73,100.0,50.0,0.57,53.57,57.78,0.76,0.76,9.52,0.0,0.0,17.43,125.0,2.28,4.56,2.28,0.0,1.14,0.76,0.38,0.0,0.0,125.0,2.09,3.04,0.0,0.0,2.28,8.33,0.76,3.64,6.3,1.14,0.0,0.0,1.14,4.76,0.0,0.0,2.68,8.33,10.26,0.0,5.0,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,125.0,3.04,2.28,0.76,75.0,0.38,0.0,1.9,0.0,0.38,0.0,0.0,0.0,125.0,0.76,0.76,0.0,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.76,1.0,1.0,0.0
