FD_ID,PLAYER_FULL,NAME_KEY,PLAYER,TEAM,OPPONENT,POS,FD_GAME,SALARY,SAL,PROJECTION,FD_SD,VALUE,MINUTES,OWN_PCT,Pace Scale,Pace Scale Raw,Proj Poss,Proj PTS,Proj REB,Proj AST,Proj STL,Proj BLK,Proj TOV,Opp Def,Def Mult Mean,Def Mult Raw,WOWY Min Sample,USG
125339-84669,Luka Doncic,luka doncic,L. Doncic,LAL,SA,PG,LAL@SA,12400.0,$12400,72.8,11.49,5.87,37.0,31.83,1.03,1.03,80.22,45.46,8.4,10.24,1.65,0.63,4.94,,1.0,1.0,273.0,0.26
125339-157833,Jalen Johnson,jalen johnson,J. Johnson,ATL,NO,SF/PF,NO@ATL,10800.0,$10800,58.99,10.55,5.46,36.5,31.27,1.08,1.08,85.07,28.05,11.67,9.86,1.58,0.48,4.03,,1.0,1.0,949.0,0.24
125339-40199,Giannis Antetokounmpo,giannis antetokounmpo,G. Antetokounmpo,MIL,GS,PF,MIL@GS,10900.0,$10900,52.87,9.92,4.85,32.5,30.45,1.0,1.0,67.56,29.2,11.01,5.71,0.95,0.89,3.62,,1.0,1.0,557.0,0.27
125339-145331,Tyrese Maxey,tyrese maxey,T. Maxey,PHI,WSH,PG,WAS@PHI,10500.0,$10500,50.33,10.1,4.79,38.0,30.4,1.03,1.03,81.33,28.98,4.63,6.75,1.81,0.91,2.5,,1.0,1.0,1009.0,0.26
125339-14513,Kawhi Leonard,kawhi leonard,K. Leonard,LAC,NY,SF/PF,LAC@NY,10700.0,$10700,49.28,9.99,4.61,36.0,30.1,0.98,0.98,71.12,29.12,6.89,3.71,2.12,0.73,2.21,,1.0,1.0,683.0,0.26
125339-67026,Jaylen Brown,jaylen brown,J. Brown,BOS,DEN,SG/SF,DEN@BOS,10100.0,$10100,47.77,9.41,4.73,35.0,30.17,1.01,1.01,72.11,31.08,6.78,5.15,1.11,0.44,3.81,115.4,1.0,1.01,1048.0,0.29
125339-66108,Jamal Murray,jamal murray,J. Murray,DEN,BOS,PG/SG,DEN@BOS,9800.0,$9800,46.23,8.97,4.72,37.0,30.13,1.01,1.01,77.89,26.39,5.14,8.19,0.94,0.32,2.4,114.2,1.0,0.99,297.0,0.23
125339-157822,Scottie Barnes,scottie barnes,S. Barnes,TOR,CHA,SF/PF,TOR@CHA,9400.0,$9400,45.07,9.85,4.79,34.0,30.12,1.01,1.01,71.66,19.84,9.12,5.34,1.35,1.57,2.48,117.7,1.02,1.03,793.0,0.23
125339-145539,Deni Avdija,deni avdija,D. Avdija,POR,HOU,SF/PF,HOU@POR,10600.0,$10600,45.02,9.15,4.25,36.0,29.42,0.97,0.97,74.14,24.62,7.33,7.72,0.73,0.59,3.92,112.9,0.99,0.98,575.0,0.24
125339-9646,Kevin Durant,kevin durant,K. Durant,HOU,POR,SF/PF,HOU@POR,9300.0,$9300,44.23,9.02,4.76,36.0,30.07,0.97,0.97,71.83,29.26,5.36,4.33,0.7,0.97,2.97,116.2,1.01,1.02,419.0,0.24
125339-9644,James Harden,james harden,J. Harden,LAC,NY,PG/SG,LAC@NY,9000.0,$9000,44.22,9.13,4.91,35.0,30.24,0.98,0.98,69.37,25.72,4.71,7.89,1.19,0.29,3.43,,1.0,1.0,1026.0,0.26
125339-84682,Michael Porter Jr.,michael porter,M. Jr.,BKN,ORL,SF/PF,ORL@BKN,8900.0,$8900,43.53,8.52,4.89,34.0,28.26,0.97,0.97,66.37,28.13,7.83,3.5,0.91,0.17,2.49,112.8,0.99,0.98,754.0,0.25
125339-84690,Jalen Brunson,jalen brunson,J. Brunson,NYK,NY,PG,LAC@NY,9200.0,$9200,43.17,8.36,4.69,36.5,29.96,0.98,0.98,74.2,29.38,3.6,6.26,0.74,0.06,2.34,,1.0,1.0,522.0,0.25
125339-49111,Joel Embiid,joel embiid,J. Embiid,PHI,WSH,C,WAS@PHI,9100.0,$9100,42.68,9.19,4.69,31.5,29.82,1.03,1.03,68.56,25.1,7.57,3.68,0.7,1.33,3.09,,1.0,1.0,448.0,0.25
125339-9524,Stephen Curry,stephen curry,S. Curry,GSW,GS,PG,MIL@GS,8800.0,$8800,42.2,8.92,4.8,32.0,28.01,1.0,1.0,68.86,28.95,3.89,4.43,1.25,0.42,3.06,,1.0,1.0,836.0,0.26
125339-188414,Victor Wembanyama,victor wembanyama,V. Wembanyama,SAS,SA,PF/C,LAL@SA,10000.0,$10000,42.11,9.61,4.21,24.0,28.88,1.03,1.03,52.07,20.6,9.63,2.64,0.65,2.26,2.74,,1.0,1.0,230.0,0.23
125339-58462,Karl-Anthony Towns,karl anthony towns,K. Towns,NYK,NY,PF/C,LAC@NY,8900.0,$8900,42.02,8.69,4.72,33.5,27.91,0.98,0.98,68.88,20.99,11.94,3.12,0.85,0.63,2.4,,1.0,1.0,501.0,0.23
